ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
127,500.405,1.52,3.486486486,3.956521739,2.435897436,2.238095238,Public,State_City,874
128,516.7454546,2.295454545,4.059405941,4.566037736,3,2.772277228,Public,State_City,489
129,492.4333333,1.602777778,3.626506024,3.931034483,2.818181818,2.407407407,Public,State_City,886
130,528.7605634,2.56778169,4.223443223,4.706713781,3.126436782,2.909774436,Public,State_City,1276
131,514.7179487,2.762820513,4.361111111,4.666666667,3.194444444,2.714285714,Public,State_City,408
132,527.4234375,3.5609375,4.643356643,4.902597403,3.268115942,2.979452055,Public,State_City,1182
133,478.3657408,1.453703704,3,3.265306122,2.466666667,2.304347826,Public,State_City,1177
134,492.5646552,1.465517241,3.705882353,3.727272727,2.653846154,2.169811321,Public,State_City,916
135,516.8695652,2.299872123,4.052325581,4.419889503,2.991097923,2.700598802,Public,State_City,1941
136,497.479798,2.257575758,4.261904762,4.182795699,2.936708861,2.6,Public,State_City,964
137,504.8928572,1.258928571,3.409090909,3.703703704,2.565217391,2.44,Public,State_City,328
138,514.5978261,2.423913043,4.026315789,4.380952381,3.128205128,2.674418605,Public,State_City,515
139,505.0597015,1.839552239,3.877192982,4.227272727,2.836363636,2.633333333,Public,State_City,1052
140,500.0309917,1.770661157,3.683168317,3.962962963,2.76635514,2.390909091,Public,State_City,1520
141,504.8017242,1.637931034,3.625,4.035714286,2.730769231,2.32,Public,State_City,549
142,508.7875,1.7625,3.933333333,4,2.8,2.529411765,Public,State_City,263
143,493.8029412,1.764705882,4.014492754,3.948051948,2.873239437,2.480519481,Public,State_City,839
144,515.2375,2.075,3.941176471,4.8,2.888888889,2.736842105,Public,State_City,631
145,505.5859375,1.502604167,3.69047619,3.782608696,2.670886076,2.24137931,Public,State_City,1687
146,500.2307692,1.836538462,3.538461538,3.576923077,2.48,2.25,Public,State_City,568
147,472.3333334,2.8,3.636363636,4.214285714,2.7,2.3,Public,State_City,517
148,498.5694444,1.486111111,3.315789474,3.25,2.756097561,2.209302326,Public,State_City,1397
149,514.7108434,2.572289157,3.87012987,4.048780488,2.945945946,2.506493506,Public,State_City,902
150,511.7071429,1.778571429,3.758064516,3.985074627,2.944444444,2.59375,Public,State_City,1973
151,514.1333334,2.059090909,4.059210526,4.079754601,2.78,2.477124183,Public,State_City,1748
152,497.9254386,1.48245614,3.75,4,2.72,2.274509804,Public,State_City,890
153,516.9438202,2.648876404,4.254166667,4.458015267,3.02991453,2.606837607,Public,State_City,1238
154,484.25,1.72972973,3.6,3.677419355,2.75,2.057142857,Public,State_City,404
155,478.09375,1.791666667,3.55,3.5,2.25,2.142857143,Public,State_City,567
156,505.8922414,1.905172414,3.666666667,4,2.70212766,2.245283019,Public,State_City,1273
157,494.2708334,2.458333333,3.363636364,3.1,2.666666667,2.666666667,Public,State_City,232
158,491.1545455,1.290909091,3.666666667,3.576923077,2.790697674,2.238095238,Public,State_City,1132
159,494.0616438,1.609589041,3.774193548,3.985714286,2.879310345,2.573770492,Public,State_City,1067
160,469.3257576,1.553030303,3.965517241,4.193548387,2.52173913,2.448275862,Public,State_City,636
161,521.3633094,2.06294964,4.068965517,4.414814815,2.876033058,2.53968254,Public,State_City,1043
162,491.3403615,1.590361446,3.676056338,3.91025641,2.657894737,2.346666667,Public,State_City,1313
163,489.8928572,1.685714286,3.263157895,3.630769231,2.690909091,2.403225806,Public,State_City,913
164,514.9817073,1.554878049,3.725,3.794871795,3,2.352941176,Public,State_City,2012
165,514.7628505,2.13317757,4.015544041,4.403940887,2.932960894,2.507853403,Public,State_City,1367
166,484.6923077,1.653846154,3.6,4,3.111111111,2.75,Public,State_City,393
167,497.4926471,1.801470588,3.894736842,4.296875,2.719298246,2.438596491,Public,State_City,1102
168,508.8766234,2.003246753,3.847222222,4.189189189,2.923076923,2.917808219,Public,State_City,1499
169,495.6964286,1.581632653,3.30952381,3.557894737,2.717948718,2.425287356,Public,State_City,919
170,469.5625,1.4375,3.5,3.75,3.333333333,1.666666667,Public,State_City,329
171,515.5570175,2.118421053,4.06,4.45045045,2.826530612,2.548076923,Public,State_City,1535
172,505.8720931,1.598837209,3.567567568,3.580246914,2.695652174,2.181818182,Public,State_City,1674
173,475.859375,1.40625,3.133333333,2.9375,2.928571429,2.285714286,Public,State_City,287
174,488.8059211,1.529605263,3.515151515,3.661764706,2.784615385,2.31884058,Public,State_City,1378
175,500.75,2.03125,3.862068966,4.677419355,3,2.607142857,Public,State_City,376
176,481.0375,1.24375,3.322580645,3.621621622,2.517241379,2.25,Public,State_City,283
177,496.3214286,1.901785714,3.936170213,3.962264151,2.70212766,2.32,Public,State_City,612
178,488.5131579,1.99122807,3.673469388,3.875,2.777777778,2.365384615,Public,State_City,802
179,501.1968085,1.303191489,3.604651163,3.655555556,2.719512195,2.34939759,Public,State_City,1031
180,477.25,1.630434783,3.55,3.863636364,2.863636364,2.142857143,Public,State_City,813
181,529.4326923,2.221153846,3.909090909,4.16,3.142857143,2.375,Public,State_City,556
182,491.9017857,1.714285714,3.208333333,3.666666667,2.666666667,2.458333333,Public,State_City,483
183,507.2548077,1.923076923,3.808988764,4.141414141,2.62195122,2.375,Public,State_City,1074
184,479.6470588,1.25,3.75,3.5,2.333333333,2,Public,State_City,334
185,510.6981132,1.773584906,4.083333333,4.058823529,2.714285714,2.418604651,Public,State_City,1284
186,513.6349558,1.807522124,3.778947368,4.168141593,2.731182796,2.46728972,Public,State_City,862
187,512.1709677,2.10483871,3.948905109,4.140939597,2.961832061,2.5,Public,State_City,1180
188,514.4035533,2.346446701,4.005617978,4.326086957,2.924418605,2.649717514,Public,State_City,980
